what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1526288260036
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1526288260037
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1526288260037
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1526288260037
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1526288260037
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1526288260037
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1526288260037
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1526288260037
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1526288260037
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1526288260037
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1526288260037
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1526288260037
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1526288260037
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1526288260037
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1526288260038
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1526288260038
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1526288260038
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1526288260038
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1526288260038
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1526288260038
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1526288260038
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1526288260038
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1526288260038
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1526288260038
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1526288260038
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1526288260039
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1526288260039
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1526288260039
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1526288260039
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1526288260039
started,bundle,org.eclipse.dltk.core,3.0.0.v20110609-1525,"org.eclipse.dltk.core",1526288260039
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1526288260039
started,bundle,org.eclipse.dltk.ui,3.0.0.v20110609-1525,"org.eclipse.dltk.ui",1526288260039
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers",1526288260039
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201106081058,"org.eclipse.cdt.codan.core",1526288260039
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201106081058,"org.eclipse.cdt.codan.core.cxx",1526288260039
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201106081058,"org.eclipse.cdt.codan.ui.cxx",1526288260039
started,bundle,org.eclipse.cdt.core,5.3.0.201106081058,"org.eclipse.cdt.core",1526288260039
started,bundle,org.eclipse.cdt.make.core,7.1.0.201106081058,"org.eclipse.cdt.make.core",1526288260040
started,bundle,org.eclipse.cdt.make.ui,7.1.0.201106081058,"org.eclipse.cdt.make.ui",1526288260040
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.0.201106081058,"org.eclipse.cdt.managedbuilder.core",1526288260040
started,bundle,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui",1526288260040
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1526288260040
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1526288260040
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1526288260040
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui",1526288260040
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1526288260040
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1526288260040
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1526288260040
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1526288260040
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1526288260040
started,bundle,fr.tm.elibel.smartqvt.modulesmanager,0.2.1,"fr.tm.elibel.smartqvt.modulesmanager",1526288260040
started,bundle,fr.tm.elibel.smartqvt.stdlibs,0.2.1,"fr.tm.elibel.smartqvt.stdlibs",1526288260040
started,bundle,org.eclipse.eclipsemonkey,1.0.1.201104071107,"org.eclipse.eclipsemonkey",1526288260040
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.0.1.201104071107,"org.eclipse.eclipsemonkey.lang.javascript",1526288260040
started,bundle,org.eclipse.gmf.runtime.diagram.core,1.4.1.v20101221-2230,"org.eclipse.gmf.runtime.diagram.core",1526288260040
started,bundle,org.eclipse.papyrus.diagram.common,0.8.0.v201106151827,"org.eclipse.papyrus.diagram.common",1526288260040
started,bundle,org.eclipse.papyrus.log,0.8.0.v201106151827,"org.eclipse.papyrus.log",1526288260041
started,bundle,org.eclipse.papyrus.modelexplorer,0.8.0.v201106151827,"org.eclipse.papyrus.modelexplorer",1526288260041
started,bundle,org.topcased.requirement,3.3.1.201107291409,"org.topcased.requirement",1526288260041
started,bundle,org.topcased.requirement.core,3.3.3.201107291409,"org.topcased.requirement.core",1526288260041
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1526288260041
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110913-1156,"org.eclipse.emf.common.ui",1526288260041
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1526288260041
started,bundle,org.eclipse.emf.edit,2.7.1.v20110913-1526,"org.eclipse.emf.edit",1526288260041
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110913-1156,"org.eclipse.emf.edit.ui",1526288260041
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1526288260041
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1526288260041
os,sysinfo,,,"linux",1526288260045
arch,sysinfo,,,"x86_64",1526288260045
ws,sysinfo,,,"gtk",1526288260045
locale,sysinfo,,,"fr_FR",1526288260045
processors,sysinfo,,,"4",1526288260045
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1526288260045
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1526288260045
java.specification.name,sysinfo,,,"Java Platform API Specification",1526288260045
java.specification.vendor,sysinfo,,,"Oracle Corporation",1526288260045
java.specification.version,sysinfo,,,"1.8",1526288260045
java.vendor,sysinfo,,,"Oracle Corporation",1526288260045
java.version,sysinfo,,,"1.8.0_161",1526288260045
java.vm.info,sysinfo,,,"mixed mode",1526288260045
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1526288260045
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1526288260045
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1526288260045
java.vm.specification.version,sysinfo,,,"1.8",1526288260045
java.vm.vendor,sysinfo,,,"Oracle Corporation",1526288260045
java.vm.version,sysinfo,,,"25.161-b12",1526288260045
started,bundle,org.jrfonseca.pythonmonkey,0.1.0.201107291408,"org.jrfonseca.pythonmonkey",1526288262443
started,bundle,org.eclipse.papyrus.ui.perspectiveconfiguration,0.8.0.v201106151827,"org.eclipse.papyrus.ui.perspectiveconfiguration",1526288262452
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201109270310,"org.eclipse.wb.core.lib",1526288262587
started,bundle,org.eclipse.wb.core,1.2.0.r37x201109270310,"org.eclipse.wb.core",1526288262709
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer",1526288262884
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.GXT",1526288262890
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1526288262893
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer.UiBinder",1526288262896
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1526288262900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1526288263802
